"","Dune_Crest_Elevation","Lowest_Recent_Dune_Crest_Elevation","Island_Interior_Width","Narrowest_Recent_Island_Interior_Width","Beach_Width","Change_in_Dune_Crest_Elevation","Change_in_Island_Interior_Width","Change_in_Beach_Width","Shrub_Presence","Island_Name","Year","Transect_Number"
"Parramore 2010 33",1.76045989,1.76045989,63.364185,63.364185,24.8915556659415,-0.35594611,-4.92150191350728,130.635815,"Non-shrub","Parramore",2010,33
"Parramore 2010 34",1.67099875,1.67099875,67.985915,67.985915,21.2035287487781,-0.75269525,-3.58291306596642,117.014085,"Non-shrub","Parramore",2010,34
"Parramore 2010 35",1.62583072,1.62583072,69.156942,69.156942,24.6970457555245,-0.56511328,-4.92029539525072,125.843058,"Non-shrub","Parramore",2010,35
"Parramore 2010 36",1.72105221,1.72105221,33.193159,33.193159,24.6836088388572,-0.47372479,-5.79508835855661,120.806841,"Non-shrub","Parramore",2010,36
"Parramore 2010 37",1.71374158,1.71374158,34.400402,34.400402,24.4336935676957,-0.49588042,-6.05851390345515,118.599598,"Non-shrub","Parramore",2010,37
"Parramore 2010 38",1.69550524,1.69550524,41.589537,41.589537,20.5634400088151,-0.42982176,-5.96295273307176,119.410463,"Non-shrub","Parramore",2010,38
"Parramore 2010 39",1.60404381,1.60404381,61.778672,61.778672,31.8353401865661,-0.56527819,-5.33516109803875,124.221328,"Non-shrub","Parramore",2010,39
"Parramore 2010 40",1.64807867,1.64807867,85.589537,85.589537,30.4068778934882,-0.23388133,-5.88528958388099,125.410463,"Non-shrub","Parramore",2010,40
"Parramore 2010 41",1.72462681,1.72462681,112.17505,112.17505,19.9333002387397,-1.72796619,-4.83570278867989,129.82495,"Non-shrub","Parramore",2010,41
"Parramore 2010 42",1.76244125,1.76244125,33.193159,33.193159,32.4275677765854,-0.50441675,-5.30848593617039,123.806841,"Non-shrub","Parramore",2010,42
"Parramore 2010 43",1.74493411,1.74493411,65.193159,65.193159,22.7065188590635,-0.58443389,-5.436826653763,114.806841,"Non-shrub","Parramore",2010,43
"Parramore 2010 44",1.76157679,1.76157679,142.814889,142.814889,25.925883045523,-0.50511221,-4.50996891991907,113.185111,"Non-shrub","Parramore",2010,44
"Parramore 2010 45",1.81636475,1.81636475,825.229376,427.1068593629,19.6116371509344,-0.25590925,1.56909960636184,106.770624,"Non-shrub","Parramore",2010,45
"Parramore 2010 46",2.02348248,2.02348248,807.625755,807.625755,22.9839485850496,-0.11102452,-7.00019340263299,109.374245,"Non-shrub","Parramore",2010,46
"Parramore 2010 47",1.87432302,1.87432302,749.796781,611.0343511118,21.3205480446585,-0.29923498,-6.80104745123283,113.203219,"Non-shrub","Parramore",2010,47
"Parramore 2010 48",1.86525654,1.79341,322.796781,322.796781,25.6527230027514,0.0718465400000001,-2.81720791667308,114.203219,"Non-shrub","Parramore",2010,48
"Parramore 2010 49",1.86335707,1.671988,293.589537,293.589537,26.0986168543872,0.19136907,-2.55341901025998,116.410463,"Non-shrub","Parramore",2010,49
"Parramore 2010 50",1.86763395,1.790226,265.17505,265.17505,23.9969191189711,0.07740795,-5.28283412462201,122.82495,"Non-shrub","Parramore",2010,50
"Parramore 2010 51",1.74513659,1.74513659,217.17505,217.17505,20.8690997841096,-0.0882124099999999,-3.47530268872418,115.82495,"Non-shrub","Parramore",2010,51
"Parramore 2010 52",1.5802968,1.5802968,195.156942,195.156942,20.8811860947707,-0.5414272,-3.69705938944848,117.843058,"Non-shrub","Parramore",2010,52
"Parramore 2010 53",1.9270168,1.9270168,198.607646,198.607646,21.9259929602573,-0.5214762,-3.88637037980934,110.392354,"Non-shrub","Parramore",2010,53
"Parramore 2010 54",2.03475903,2.03475903,124.382294,124.382294,26.414133754525,-0.64358197,-5.20987666637344,117.617706,"Non-shrub","Parramore",2010,54
"Parramore 2010 55",1.81368351,1.81368351,107.17505,107.17505,33.5458902646557,-0.21385949,-4.75924801732161,116.82495,"Non-shrub","Parramore",2010,55
"Parramore 2010 56",1.81633433,1.81633433,143.364185,143.364185,31.350811450898,-0.66897567,-4.38769653182057,113.635815,"Non-shrub","Parramore",2010,56
"Parramore 2010 57",1.69923449,1.69923449,164.778672,164.778672,30.221426467321,-0.17163251,-3.7387344781253,119.221328,"Non-shrub","Parramore",2010,57
"Parramore 2010 58",1.70824021,1.70824021,192.571429,192.571429,34.3990743069957,-0.28287779,-4.20692195134463,116.428571,"Shrub","Parramore",2010,58
"Parramore 2010 59",1.73161155,1.73161155,221.17505,221.17505,31.2549395436622,-0.31622145,-3.36479810075084,113.82495,"Non-shrub","Parramore",2010,59
"Parramore 2010 60",2.13263831,2.13263831,249.571429,249.571429,23.1562460095793,-0.63731869,-3.30237994048558,106.428571,"Shrub","Parramore",2010,60
"Parramore 2010 61",1.78833831,1.78833831,309.760563,309.760563,33.0324627920345,-0.23211769,-2.98735463340009,116.239437,"Non-shrub","Parramore",2010,61
"Parramore 2010 62",1.83438995,1.83438995,372.967807,372.967807,32.4068727864384,-0.0909520500000001,-2.30353160806612,117.032193,"Non-shrub","Parramore",2010,62
"Parramore 2010 63",1.8355796,1.8355796,959.778672,598.2145437359,35.0948663593587,-0.4045274,-2.52592516016516,116.221328,"Non-shrub","Parramore",2010,63
"Parramore 2010 64",1.90607065,1.90607065,925.17505,507.7842732821,36.3180510451777,-0.28264135,-2.26639586857336,114.82495,"Non-shrub","Parramore",2010,64
"Parramore 2010 65",1.81533021,1.81533021,948.55332,511.5990501854,34.0737415526347,-0.30963879,-2.34627443155323,114.44668,"Shrub","Parramore",2010,65
"Parramore 2010 66",1.94946305,1.94946305,727.949698,683.4314052512,45.3676307675744,-0.18515795,-2.29027213251488,117.050302,"Shrub","Parramore",2010,66
"Parramore 2010 67",2.08923475,1.829645,763.55332,676.3522438727,30.7115736775985,0.25958975,-2.26098531524394,113.44668,"Shrub","Parramore",2010,67
"Parramore 2010 68",1.81394048,1.81394048,755.327968,755.327968,39.1027910644852,-0.0920675199999998,-1.70260003171014,111.672032,"Shrub","Parramore",2010,68
"Parramore 2010 69",1.73744039,1.73744039,755.102616,638.7452290868,28.5198728431193,-0.51871461,-2.71737827434188,110.897384,"Shrub","Parramore",2010,69
"Parramore 2010 70",1.88997667,1.88997667,752.535211,598.0534670666,29.4273177186423,-0.93938333,-2.16752238523688,108.464789,"Shrub","Parramore",2010,70
"Parramore 2010 71",1.80871858,1.80871858,740.273642,594.5477302384,35.6329751836066,-2.14051242,-2.33240105907722,122.726358,"Non-shrub","Parramore",2010,71
"Parramore 2010 72",1.86400064,1.86400064,668.327968,620.3745301211,31.9747638291956,-0.43805436,-2.53006669871938,119.672032,"Shrub","Parramore",2010,72
"Parramore 2010 73",1.9273224,1.826764,681.688129,611.8891197009,45.0798075396441,0.1005584,0.877471814516615,128.311871,"Non-shrub","Parramore",2010,73
"Parramore 2010 74",1.85309271,1.85309271,803.535211,651.0965077397,21.1338239597996,-1.61959529,1.8009702029663,118.464789,"Shrub","Parramore",2010,74
"Parramore 2010 75",1.84495608,1.84495608,834.778672,834.778672,30.1183244355438,-0.48907492,-0.446771598544967,106.221328,"Shrub","Parramore",2010,75
"Parramore 2010 76",1.76865105,1.76865105,733.949698,727.7160968419,23.8452715562235,-0.13157795,0.0658921499020355,115.050302,"Non-shrub","Parramore",2010,76
"Parramore 2010 77",1.85681346,1.85681346,610.967807,610.967807,18.0932166780272,-1.38159554,-1.45196356567722,112.032193,"Shrub","Parramore",2010,77
"Parramore 2010 78",1.85914998,1.85914998,673.985915,673.985915,12.0422849134739,-0.24409802,-1.8034032948766,111.014085,"Shrub","Parramore",2010,78
"Parramore 2010 79",1.77864001,1.77864001,1013.985915,1013.985915,15.3515498164167,-1.88873899,-1.24307264551761,118.014085,"Shrub","Parramore",2010,79
"Parramore 2010 80",2.03911913,2.03911913,1007.589537,1007.589537,14.794869393803,-1.02919087,-1.18706846313305,127.410463,"Shrub","Parramore",2010,80
"Parramore 2010 81",1.76451439,1.76451439,961.400402,961.400402,10.1289954712513,-1.05160361,-1.43632423324449,116.599598,"Shrub","Parramore",2010,81
"Parramore 2010 82",1.87814051,1.87814051,952.004024,952.004024,7.99059006240035,-1.08002949,-1.29984534774211,122.995976,"Shrub","Parramore",2010,82
"Parramore 2010 83",1.84640501,1.84640501,971.832998,971.832998,8.19971998005573,-0.84994099,-1.28902404772644,117.167002,"Shrub","Parramore",2010,83
"Parramore 2010 84",2.00704952,2.00704952,912.229376,912.229376,7.29107385253996,-0.56900548,-1.30798840165957,119.770624,"Shrub","Parramore",2010,84
"Parramore 2010 85",1.80319004,1.80319004,1042.43662,1042.43662,7.43303925302834,-0.91013196,-1.16378958446336,119.56338,"Shrub","Parramore",2010,85
"Parramore 2010 86",1.91913355,1.91913355,1029.211268,1029.211268,17.1565159016758,-1.92555345,-1.12344637755774,115.788732,"Shrub","Parramore",2010,86
"Parramore 2010 87",1.91634587,1.91634587,1056.418511,1056.418511,8.61534081098105,-0.84888713,-1.13235890577561,113.581489,"Shrub","Parramore",2010,87
"Parramore 2010 88",1.74736142,1.74736142,1055.265594,1055.265594,6.72621883659489,-1.15744558,-1.19638812839055,112.734406,"Shrub","Parramore",2010,88
"Parramore 2010 89",1.8130027,1.8130027,1037.814889,1037.814889,9.0156777420973,-1.0169453,-1.16207493178882,117.185111,"Shrub","Parramore",2010,89
"Parramore 2010 90",1.93839748,1.93839748,1011.949698,1011.949698,12.7444438029271,-1.38651552,-1.21340948260779,120.050302,"Shrub","Parramore",2010,90
"Parramore 2010 91",1.66281173,1.66281173,1025.040241,1025.040241,16.9570675271445,-1.23426627,-1.02104055643708,112.959759,"Shrub","Parramore",2010,91
"Parramore 2010 92",1.79614668,1.79614668,968.814889,968.814889,19.0108141086381,-2.40418832,-1.11870802744447,115.185111,"Shrub","Parramore",2010,92
"Parramore 2010 93",1.75974569,1.75974569,933.382294,933.382294,12.5756463717405,-0.98762331,-1.26594057151406,119.617706,"Shrub","Parramore",2010,93
"Parramore 2010 94",1.82049428,1.82049428,945.193159,945.193159,15.5937404375198,-0.76923072,-1.23905251908815,116.806841,"Shrub","Parramore",2010,94
"Parramore 2010 95",1.82449334,1.82449334,944.004024,944.004024,9.1968962208333,-0.44456666,-1.26548981918591,118.995976,"Shrub","Parramore",2010,95
"Parramore 2010 96",1.6910594,1.6910594,930.400402,930.400402,9.92069623422363,-0.5143426,-1.29454074232836,125.599598,"Shrub","Parramore",2010,96
"Parramore 2010 97",1.75318962,1.75318962,900.589537,900.589537,13.9979646748069,-0.87239238,-1.38068310177468,127.410463,"Shrub","Parramore",2010,97
"Parramore 2010 98",2.03271736,2.03271736,908.400402,908.400402,13.021601655666,-0.70820064,-1.45707523994125,124.599598,"Shrub","Parramore",2010,98
"Parramore 2010 99",1.80369219,1.80369219,944.43662,944.43662,11.4980547364655,-1.61421081,-1.21149258396556,117.56338,"Shrub","Parramore",2010,99
"Parramore 2010 100",2.10204359,2.10204359,947.229376,947.229376,12.4636594023451,-0.98903941,-1.35342511112307,120.770624,"Shrub","Parramore",2010,100
"Parramore 2010 101",2.11339077,2.11339077,913.022133,913.022133,10.7384362939746,-0.79534923,-1.3173023664589,118.977867,"Shrub","Parramore",2010,101
"Parramore 2010 102",1.93135775,1.93135775,916.229376,916.229376,18.2253162779682,-1.49353825,-1.24200795138703,112.770624,"Shrub","Parramore",2010,102
"Parramore 2010 103",2.03755074,2.03755074,904.814889,904.814889,29.853024075238,-0.79220226,-3.14254411001715,105.185111,"Shrub","Parramore",2010,103
"Parramore 2010 104",1.96720156,1.96720156,931.589537,931.589537,32.2072519069158,-0.89252844,-3.63410118654524,109.410463,"Shrub","Parramore",2010,104
"Parramore 2010 105",2.13942185,2.13942185,996.760563,996.760563,30.7846402487556,-0.77640215,-4.28391618337805,113.239437,"Shrub","Parramore",2010,105
"Parramore 2010 106",1.83956094,1.83956094,1044.742455,1044.742455,24.2989990965657,-0.92976106,-4.19854657476418,106.257545,"Shrub","Parramore",2010,106
"Parramore 2010 107",1.84374885,1.84374885,1026.517103,1026.517103,30.9454353979956,-1.37823615,-0.860476980899807,107.482897,"Shrub","Parramore",2010,107
"Parramore 2010 108",1.99043099,1.99043099,995.390342,995.390342,41.4873111265063,-0.46444801,-1.19691096435778,122.609658,"Shrub","Parramore",2010,108
"Parramore 2010 109",1.92278481,1.92278481,1155.633803,1155.633803,12.6481996096087,-1.42635719,-0.725600132045245,106.366197,"Shrub","Parramore",2010,109
"Parramore 2010 110",1.90820809,1.90820809,1317.183099,1317.183099,8.00723542147107,-0.97791091,32.2208333528739,107.816901,"Non-shrub","Parramore",2010,110
"Parramore 2010 111",1.70378386,1.70378386,1519.78672,1519.78672,20.0509644413163,-0.0245741400000001,-0.762064800211534,103.21328,"Non-shrub","Parramore",2010,111
"Parramore 2010 112",1.81798865,1.456676,1577.092555,1569.4449304267,91.5790092635719,0.36131265,0.0374832402160695,117.907445,"Shrub","Parramore",2010,112
"Parramore 2010 113",2.00506855,1.562792,1611.804829,1573.0481466434,91.47119181621,0.44227655,0.189522696082857,120.195171,"Shrub","Parramore",2010,113
"Cedar 2010 1",1.28025062,1.28025062,239.227364,50.4415716267,62.4265932228321,-0.57538638,28.7897136437131,103.772636,"Non-shrub","Cedar",2010,1
"Cedar 2010 2",1.21424745,1.21424745,356.020121,78.8975263519,66.0716119602285,-1.17230155,27.0187465322544,106.979879,"Non-shrub","Cedar",2010,2
"Cedar 2010 3",1.25235389,1.25235389,298.641851,106.4077916893,55.4098541861163,-0.94119411,13.8967599052986,95.358149,"Non-shrub","Cedar",2010,3
"Cedar 2010 4",1.24600488,1.24600488,235.227364,109.1530171981,71.6878773560374,-0.57117212,8.88479945494172,98.772636,"Non-shrub","Cedar",2010,4
"Cedar 2010 5",1.37708437,1.37708437,210.452716,96.7529688543,49.8815706754214,-0.52314563,9.03965480273154,102.547284,"Non-shrub","Cedar",2010,5
"Cedar 2010 6",1.49227787,1.49227787,198.569416,150.5962290674,47.162226912674,-0.24221513,2.45042334161631,114.430584,"Non-shrub","Cedar",2010,6
"Cedar 2010 7",1.48155446,1.48155446,223.903421,114.5367594957,34.0834745026557,-0.23985854,7.34508305696498,101.096579,"Non-shrub","Cedar",2010,7
"Cedar 2010 8",1.60543183,1.60543183,233.128773,117.3654794863,43.9348468904472,-0.15483517,7.58729804606859,104.871227,"Non-shrub","Cedar",2010,8
"Cedar 2010 9",1.63327155,1.63327155,241.750503,-33.878730718,40.1300757037584,-0.18648745,-62.5827718400134,102.249497,"Non-shrub","Cedar",2010,9
"Cedar 2010 10",1.64431339,1.64431339,285.390342,-56.5140434374,42.3892824679895,-0.22819361,-46.5377023862592,92.609658,"Non-shrub","Cedar",2010,10
"Cedar 2010 11",1.62198744,1.62198744,285.957746,-36.5610452713,43.1920088280139,-0.13147656,-67.8567519227216,109.042254,"Non-shrub","Cedar",2010,11
"Cedar 2010 12",1.65510855,1.65510855,633.615694,-10.0862372727,40.0147027503353,-0.05922545,-352.881409483423,111.384306,"Non-shrub","Cedar",2010,12
"Cedar 2010 13",1.62888508,1.62888508,619.462777,-14.7848637624,73.967148510704,-0.01888592,-220.208392522867,117.537223,"Non-shrub","Cedar",2010,13
"Cedar 2010 14",1.73855924,1.685219,543.291751,98.4189247604,75.9368887808539,0.05334024,34.7707381655775,107.708249,"Non-shrub","Cedar",2010,14
"Cedar 2010 15",1.83641549,1.688304,465.688129,465.688129,46.2950779665003,0.14811149,-4.31123043292624,106.311871,"Non-shrub","Cedar",2010,15
"Cedar 2010 16",1.9036225,1.040746,482.895372,0.41264680590001,-0.7809890517073,0.8628765,8994.14590238092,110.104628,"Non-shrub","Cedar",2010,16
"Cedar 2010 17",1.92559438,1.330059,469.291751,-357.3272574828,59.6148420426722,0.59553538,-17.7949138343191,106.708249,"Non-shrub","Cedar",2010,17
"Cedar 2010 18",1.94057633,1.560272,401.291751,401.291751,106.412505662467,0.38030433,-0.241955313196685,109.708249,"Non-shrub","Cedar",2010,18
"Cedar 2010 19",2.00375287,1.481223,334.498994,240.3767117357,82.8267015075413,0.52252987,3.01201206494291,111.501006,"Non-shrub","Cedar",2010,19
"Cedar 2010 20",2.06221097,1.534462,297.877264,234.971982428,34.8054091634422,0.52774897,2.05933820842384,112.122736,"Non-shrub","Cedar",2010,20
"Cedar 2010 21",2.01899895,1.633567,295.651911,174.772269047,58.504563557385,0.38543195,5.32031428503344,107.348089,"Non-shrub","Cedar",2010,21
"Cedar 2010 22",2.03124432,1.85807,263.615694,147.30010041,33.1435872489554,0.17317432,6.07423438828117,102.384306,"Non-shrub","Cedar",2010,22
"Cedar 2010 23",2.12068142,1.59853,173.390342,106.7591685534,22.0723114725827,0.52215142,4.80096927501264,94.609658,"Non-shrub","Cedar",2010,23
"Cedar 2010 24",2.18516502,1.713837,68.136821,68.136821,39.920270936355,0.47132802,-0.149552198051987,139.863179,"Non-shrub","Cedar",2010,24
"Cedar 2010 25",1.87659974,1.711889,116.426559,116.426559,22.5255481328997,0.16471074,0.578564219671,99.573441,"Non-shrub","Cedar",2010,25
"Cedar 2010 26",1.9253787,1.760721,119.841046,113.4328768164,63.8397020625603,0.1646577,0.434561923210331,94.158954,"Non-shrub","Cedar",2010,26
"Cedar 2010 27",1.6119919,1.414442,135.156942,-6.03441155519999,48.1449840221519,0.1975499,-179.982310637082,120.843058,"Non-shrub","Cedar",2010,27
"Cedar 2010 28",1.65345841,1.65345841,101.814889,24.6107386643,25.9617536536331,-0.16006659,24.1308514793526,123.185111,"Non-shrub","Cedar",2010,28
"Cedar 2010 29",1.73910798,1.73910798,34.869215,34.869215,14.7819347826034,-0.18168502,-2.10025853967824,133.130785,"Non-shrub","Cedar",2010,29
"Cedar 2010 30",1.87772151,1.87772151,28.68008,28.68008,18.4355001816572,-0.11597749,-3.33617727970467,119.31992,"Non-shrub","Cedar",2010,30
"Cedar 2010 31",1.82299234,1.82299234,-12.31992,-12.31992,24.2515117174876,-0.09321866,-3.3264057837425,124.31992,"Non-shrub","Cedar",2010,31
"Cedar 2010 32",1.82314203,1.82314203,71.211268,71.211268,5.4498580693816,-0.27900097,-3.28308495463103,114.788732,"Non-shrub","Cedar",2010,32
"Cedar 2010 33",1.79018933,1.79018933,13.949698,13.949698,4.13304510252984,-0.31262567,-5.89755169769285,105.050302,"Non-shrub","Cedar",2010,33
"Cedar 2010 34",1.6774572,1.6774572,8.34607600000001,8.34607600000001,14.3568498486817,-0.4838278,-6.20123578630066,120.653924,"Non-shrub","Cedar",2010,34
"Cedar 2010 35",1.75502029,1.75502029,30.193159,30.193159,9.36997603836052,-0.38461571,-5.98553313845626,111.806841,"Non-shrub","Cedar",2010,35
"Cedar 2010 36",1.95499532,1.95499532,34.55332,34.55332,10.2727560924037,-0.13013368,-6.10783061307379,108.44668,"Non-shrub","Cedar",2010,36
"Cedar 2010 37",1.8591284,1.8591284,34.93159,34.93159,13.2547577324771,-0.3094916,-6.41695081055833,109.06841,"Non-shrub","Cedar",2010,37
"Cedar 2010 38",1.95073528,1.95073528,45.949698,45.949698,24.5542214396444,-0.17231772,-6.28705790085567,108.050302,"Non-shrub","Cedar",2010,38
"Cedar 2010 39",1.91545004,1.91545004,19.183099,19.183099,32.4804560356958,-0.11306496,-7.14157590947801,159.816901,"Non-shrub","Cedar",2010,39
"Cedar 2010 40",2.13181471,1.967575,49.895372,49.895372,17.4895465386796,0.16423971,-6.08284062528151,101.104628,"Non-shrub","Cedar",2010,40
"Cedar 2010 41",2.07057198,1.97924,36.138833,36.138833,48.7440905784409,0.0913319799999999,-6.36967369975768,122.861167,"Non-shrub","Cedar",2010,41
"Cedar 2010 42",1.92374804,1.92374804,45.742455,45.742455,33.5686224008711,-0.25883196,-5.66432919654415,119.257545,"Non-shrub","Cedar",2010,42
"Cedar 2010 43",2.07164963,2.045825,54.346076,54.346076,31.0120863590671,0.0258246300000002,-5.23142109546437,111.653924,"Non-shrub","Cedar",2010,43
"Cedar 2010 44",1.83206689,1.83206689,24.93159,24.93159,25.171897510086,-0.35739811,-6.41774285680162,119.06841,"Non-shrub","Cedar",2010,44
"Cedar 2010 45",1.92127055,1.92127055,36.17505,36.17505,27.768788595507,-0.03482845,-5.95950746308536,118.82495,"Non-shrub","Cedar",2010,45
"Cedar 2010 46",1.96824336,1.96824336,8.382294,8.382294,25.5551274721894,-0.25929164,-6.19349988155095,113.617706,"Non-shrub","Cedar",2010,46
"Cedar 2010 47",2.11545081,2.03014,44.400402,44.400402,24.4405456350983,0.0853108100000002,-5.58360204964018,118.599598,"Non-shrub","Cedar",2010,47
"Cedar 2010 48",2.13648475,2.054101,91.498994,91.498994,34.254570343764,0.08238375,-1.30567910493292,139.501006,"Non-shrub","Cedar",2010,48
"Cedar 2010 49",1.84971329,1.84971329,-2.28571400000001,-2.28571400000001,55.977409828659,-0.0801987100000001,-7.79543134241914,172.285714,"Non-shrub","Cedar",2010,49
"Cedar 2010 50",1.95636975,1.93979,37.55332,37.55332,30.1556211688715,0.01657975,-5.52548771736634,119.44668,"Non-shrub","Cedar",2010,50
"Cedar 2010 51",2.00504128,2.00504128,92.309859,92.309859,56.9104767028769,-0.0974977200000002,-2.61210485244365,118.690141,"Non-shrub","Cedar",2010,51
"Cedar 2010 52",1.90540755,1.90540755,80.859155,80.859155,77.1283944054814,-0.17344345,-2.0203442440795,116.140845,"Non-shrub","Cedar",2010,52
"Cedar 2010 53",1.92919275,1.92919275,73.822938,73.822938,93.4540369649248,-0.22796025,-3.61395175968561,118.177062,"Non-shrub","Cedar",2010,53
"Cedar 2010 54",2.04589696,2.04589696,67.201207,67.201207,67.2375212335099,-0.12527404,-3.58686018313731,124.798793,"Non-shrub","Cedar",2010,54
"Cedar 2010 55",1.98501195,1.98501195,107.480885,107.480885,56.9262573253896,-0.09529305,-2.21200154973202,115.519115,"Non-shrub","Cedar",2010,55
"Cedar 2010 56",1.92289212,1.92289212,165.688129,165.688129,46.9712430494218,-0.18858488,-0.36984182863539,106.311871,"Non-shrub","Cedar",2010,56
"Cedar 2010 57",1.87648671,1.87648671,123.651911,123.651911,52.1714699810303,-0.30962229,-3.58888523253339,108.348089,"Non-shrub","Cedar",2010,57
"Cedar 2010 58",1.96986921,1.96986921,117.444668,117.444668,53.4786662067796,-0.29888079,-2.23490766838989,113.555332,"Non-shrub","Cedar",2010,58
"Cedar 2010 59",1.83724505,1.83724505,48.841046,48.841046,40.2130822224189,-0.27188095,-4.61992922983805,119.158954,"Non-shrub","Cedar",2010,59
"Cedar 2010 60",1.9381089,1.9381089,47.877264,47.877264,37.7606662848823,-0.0670620999999998,-5.26993744934605,104.122736,"Non-shrub","Cedar",2010,60
"Cedar 2010 61",1.97740108,1.97740108,101.67002,86.9901637867,43.9446212236515,-0.0268609200000003,1.29810045131566,112.32998,"Non-shrub","Cedar",2010,61
"Cedar 2010 62",1.88289769,1.88289769,155.462777,105.5613013475,31.1149364109504,-0.32400831,3.63634684414888,105.537223,"Non-shrub","Cedar",2010,62
"Cedar 2010 63",1.70343132,1.70343132,140.822938,68.5682619162,35.1666210052386,-0.28191068,8.10586684148254,110.177062,"Non-shrub","Cedar",2010,63
"Cedar 2010 64",1.84579079,1.84579079,102.219316,87.1727296083,36.6087962384721,-0.24203321,1.32774289349345,122.780684,"Non-shrub","Cedar",2010,64
"Cedar 2010 65",1.9463783,1.9463783,100.255533,49.8734499859,31.4064133859814,-0.0131547000000001,7.77075748385993,111.744467,"Non-shrub","Cedar",2010,65
"Cedar 2010 66",2.02729863,1.917619,91.651911,91.651911,32.5338686341506,0.10967963,-1.1669919443926,108.348089,"Non-shrub","Cedar",2010,66
"Cedar 2010 67",2.02668905,1.996313,87.67002,87.67002,36.7622598996805,0.0303760499999999,-2.80943703109184,105.32998,"Non-shrub","Cedar",2010,67
"Cedar 2010 68",1.97874922,1.97874922,84.498994,84.498994,49.1318795302288,-0.90381678,-1.60817777230238,107.501006,"Non-shrub","Cedar",2010,68
"Cedar 2010 69",1.95528197,1.95528197,72.273642,65.8843889751,32.5586533655379,-0.0644080300000003,0.745974895663269,104.726358,"Non-shrub","Cedar",2010,69
"Cedar 2010 70",1.78031506,1.78031506,125.67002,79.3154031436,24.4952058718128,-0.31915794,4.49564601182051,110.32998,"Non-shrub","Cedar",2010,70
"Cedar 2010 71",1.72867867,1.72867867,85.462777,85.462777,39.3239749402035,-0.79629833,-0.211080897254091,103.537223,"Non-shrub","Cedar",2010,71
"Cedar 2010 72",1.90258716,1.90258716,74.237425,74.237425,40.4581491874203,-0.43124884,-0.437387085215772,106.762575,"Non-shrub","Cedar",2010,72
"Cedar 2010 73",1.86724575,1.86724575,100.651911,64.5568428435,28.4227073237685,-0.31569925,4.30092858022364,105.348089,"Non-shrub","Cedar",2010,73
"Cedar 2010 74",1.99358699,1.99358699,61.237425,30.3545408069,21.2602901541302,-0.22886901,7.82619803575582,96.762575,"Non-shrub","Cedar",2010,74
"Cedar 2010 75",1.97238918,1.97238918,82.615694,82.615694,20.6479815509691,-0.13309482,-5.54978170826466,94.384306,"Non-shrub","Cedar",2010,75
"Cedar 2010 76",2.12076903,2.110563,54.066398,54.066398,21.1081982266975,0.01020603,-5.04890683013887,100.933602,"Non-shrub","Cedar",2010,76
"Cedar 2010 77",1.95204839,1.860643,53.706237,53.706237,29.2579189959559,0.09140539,-5.33797396142182,114.293763,"Non-shrub","Cedar",2010,77
"Cedar 2010 78",1.89138309,1.744594,74.706237,73.101806648,30.2523478786858,0.14678909,0.16882991685677,122.293763,"Non-shrub","Cedar",2010,78
"Cedar 2010 79",1.85288943,1.78041,120.291751,81.0054023263,43.9446009666634,0.07247943,3.73064849290019,105.708249,"Non-shrub","Cedar",2010,79
"Cedar 2010 80",1.78569958,1.78569958,14.084507,14.084507,81.6522261834067,-0.0700814199999999,-7.10131188418212,122.915493,"Non-shrub","Cedar",2010,80
"Cedar 2010 81",2.04059037,1.796121,55.084507,55.084507,59.6334471327065,0.24446937,-4.82459753729852,127.915493,"Non-shrub","Cedar",2010,81
"Cedar 2010 82",1.78747315,1.78747315,93.67002,65.0436694729,44.4285069360497,-0.11506085,3.38545930982651,107.32998,"Non-shrub","Cedar",2010,82
"Cedar 2010 83",1.71131954,1.71131954,102.462777,45.0332287966,37.2189178491821,-0.20996546,9.80977307681128,107.537223,"Non-shrub","Cedar",2010,83
"Cedar 2010 84",1.68092331,1.68092331,79.255533,17.5547117577,28.7278570043073,-0.24600969,27.0367129016324,106.744467,"Non-shrub","Cedar",2010,84
"Cedar 2010 85",1.84508701,1.84508701,115.444668,-7.3831657787,19.0808196932112,-0.13043899,-127.970780952957,97.555332,"Non-shrub","Cedar",2010,85
"Cedar 2010 86",1.66680233,1.66680233,202.993964,202.993964,16.9278286910093,-0.28225767,-0.159886057028142,100.006036,"Non-shrub","Cedar",2010,86
"Cedar 2010 87",1.4901487,1.4901487,228.344064,228.344064,16.0700387677743,-0.5606253,-3.86069554739982,80.655936,"Non-shrub","Cedar",2010,87
"Cedar 2010 88",1.37175035,1.37175035,107.730382,107.730382,81.8859851219618,-0.65673065,22.6737625942684,253.269618,"Non-shrub","Cedar",2010,88
"Smith 2016 11",2.97182465,2.48988779,194.527163,194.527163,23.654232159603,0.48193686,-6.30633692669172,108.472837,"Shrub","Smith",2016,11
"Smith 2016 12",2.95662714,2.29556918,318.064386,318.064386,19.5718356125742,0.66105796,-1.64924398261544,101.935614,"Shrub","Smith",2016,12
"Smith 2016 13",2.64378698,2.28198137,254.991952,254.991952,18.5627570511267,0.36180561,-3.82965963206546,97.008048,"Shrub","Smith",2016,13
"Smith 2016 14",2.34670893,1.92742125,262.016097,262.016097,12.772909047093,0.41928768,-2.33211903333903,82.983903,"Shrub","Smith",2016,14
